country,year,sex,duration,value,quality_obs_flag,quality_conf_status,dataflow,last_update,freq,age,unit
European Union - 27 countries (from 2020),2017,Females,From 0 to 11 months,13.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2018,Females,From 0 to 11 months,13.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2019,Females,From 0 to 11 months,13.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2020,Females,From 0 to 11 months,12.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2021,Females,From 0 to 11 months,13.1,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2022,Females,From 0 to 11 months,14.3,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2023,Females,From 0 to 11 months,14.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2024,Females,From 0 to 11 months,13.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2025,Females,From 0 to 11 months,12.5,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2016,Females,From 0 to 11 months,18.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2017,Females,From 0 to 11 months,19.3,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2018,Females,From 0 to 11 months,20.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2019,Females,From 0 to 11 months,20.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2020,Females,From 0 to 11 months,18.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2021,Females,From 0 to 11 months,19.8,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2022,Females,From 0 to 11 months,20.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2023,Females,From 0 to 11 months,20.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2024,Females,From 0 to 11 months,17.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Finland,2025,Females,From 0 to 11 months,15.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2016,Females,From 0 to 11 months,12.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2017,Females,From 0 to 11 months,13.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2018,Females,From 0 to 11 months,14.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2019,Females,From 0 to 11 months,14.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2020,Females,From 0 to 11 months,13.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2021,Females,From 0 to 11 months,14.2,bd,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2022,Females,From 0 to 11 months,15.9,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2023,Females,From 0 to 11 months,15.9,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2024,Females,From 0 to 11 months,14.9,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
France,2025,Females,From 0 to 11 months,14.0,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2016,Females,From 0 to 11 months,13.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2017,Females,From 0 to 11 months,14.4,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2018,Females,From 0 to 11 months,14.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2019,Females,From 0 to 11 months,12.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2020,Females,From 0 to 11 months,9.9,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Croatia,2021,Females,From 0 to 11 months,10.4,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
